Comment,Designator,Footprint,LCSC Part#
"CAP_0402 4.7uF","C3","0402","C23733"
"CAP_0402 4.7uF","C2","0402","C23733"
"RES_0402 220R","R3","0402","C25091"
"CAP_0402 33pF","C6","0402","C1562"
"RES_0402 1k@100MHz","FB1","0402","C21516"
"XC6206-SOT23-3","U2","SOT-23-3L","C5446"
"LED-RGB-CA-2020 C108793","D1","LED-4_2020","C108793"
"RES_0402 470R","R6","0402","C25117"
"RES_0402 150R","R8","0402","C25082"
"RES_0402 220R","R5","0402","C25091"
"BAT54S-23 BAT54S-23","D2","SOT-23","C408389"
"STM32G030F8P6 STM32G030F6P6","IC2","TSSOP-20","C724040"
"RES_0402 10k","R1","0402","C25744"
"RES_0402 10k","R2","0402","C25744"
"LSM6DS3TR-C LSM6DS3TR-C","IC1","LGA-14","C967633"
"CAP_0402 100nF","C1","0402","C1525"
"CAP_0402 100nF","C4","0402","C1525"
