Altium Designer Pick and Place Locations
D:\shodges\TFS-MSR\SenDev\Projects\JacdacModules\STM32F\JacdacServoDual 23\.\JacdacServoDual 23-2.0\Pick Place\CPL JacdacServoDual 23-2.0.csv

========================================================================================================================
File Design Information:

Date:       07/02/22
Time:       20:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C1","TopLayer","33.6954mm","21.1632mm","90"
"C2","TopLayer","17.3250mm","26.6250mm","0"
"C3","TopLayer","19.0652mm","23.2223mm","270"
"C5","TopLayer","39.3217mm","14.7690mm","180"
"C7","TopLayer","15.2500mm","21.5250mm","180"
"C8","TopLayer","17.5250mm","21.5500mm","0"
"C10","TopLayer","41.7440mm","13.7819mm","180"
"D1","TopLayer","31.1853mm","22.1000mm","0"
"D2","TopLayer","22.7359mm","22.9766mm","270"
"D3","TopLayer","28.8939mm","22.9862mm","270"
"D4","TopLayer","26.7500mm","22.4250mm","180"
"D5","TopLayer","12.5699mm","20.8946mm","90"
"FB1","TopLayer","33.7000mm","23.4500mm","270"
"J3","TopLayer","31.7500mm","12.6660mm","0"
"J4","TopLayer","21.7500mm","12.6660mm","0"
"Q10","TopLayer","14.0500mm","15.6500mm","270"
"Q12","TopLayer","14.0500mm","12.2637mm","90"
"R1","TopLayer","31.9953mm","20.0946mm","0"
"R2","TopLayer","16.9500mm","16.9968mm","0"
"R4","TopLayer","25.0973mm","20.6941mm","270"
"R5","TopLayer","28.5257mm","19.5246mm","0"
"R6","TopLayer","28.4991mm","20.7849mm","0"
"R10","TopLayer","13.6318mm","17.8500mm","180"
"R12","TopLayer","37.4842mm","11.3107mm","180"
"R14","TopLayer","11.8225mm","17.3500mm","90"
"R16","TopLayer","37.5096mm","12.6000mm","180"
"R18","TopLayer","20.2500mm","20.6496mm","270"
"R19","TopLayer","22.0250mm","20.1500mm","180"
"U1","TopLayer","16.8750mm","24.0500mm","270"
"U3","TopLayer","38.8750mm","19.2250mm","90"
"U4","TopLayer","16.8750mm","19.2250mm","0"
"U10","TopLayer","40.4000mm","11.9500mm","180"
